profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,901,1,split,Ag_q,1.68845028360836e-30,2.21695126049837e-19
constant,0.0001,901,1,split,Ag_0,1.61239755954413e-25,4.16044640953703e-17
constant,0.0001,901,1,split,Aw_p,4.13588987549555e-14,7.1933649720372e-14
constant,0.0001,901,1,split,Aw_m,4.13588987550579e-14,3.64450295971286e-14
constant,0.0001,901,1,split,Aio,1.0706494966305e-22,3.46615323537481e-13
constant,0.0001,901,1,split,Amda,4.05688592809597e-24,7.30245827231335e-14
constant,0.0001,901,1,compatible,Ag_q,7.8393935584653e-29,2.21695126049837e-19
constant,0.0001,901,1,compatible,Ag_0,1.72104885777397e-24,4.16044640953703e-17
constant,0.0001,901,1,compatible,Aw_p,4.13588987549033e-14,7.1933649720372e-14
constant,0.0001,901,1,compatible,Aw_m,4.13588987546441e-14,3.64450295971286e-14
constant,0.0001,901,1,compatible,Aio,3.16886390371767e-24,3.46615323537481e-13
constant,0.0001,901,1,compatible,Amda,4.05760891845632e-24,7.30245827231335e-14
constant,0.0001,901,2,divergence,Ag_q,4.0662678139955e-30,2.21695126049837e-19
constant,0.0001,901,2,divergence,Ag_0,6.00406800110529e-26,4.16044640953703e-17
constant,0.0001,901,2,divergence,Aw_p,1.01880038375935e-14,7.1933649720372e-14
constant,0.0001,901,2,divergence,Aw_m,1.01880038375935e-14,3.64450295971286e-14
constant,0.0001,901,2,divergence,Aio,5.45556814457612e-27,3.46615323537481e-13
constant,0.0001,901,2,divergence,Amda,6.84460007701072e-25,7.30245827231335e-14
constant,0.0001,901,2,advective,Ag_q,4.07021894272795e-30,2.21695126049837e-19
constant,0.0001,901,2,advective,Ag_0,6.00995601410979e-26,4.16044640953703e-17
constant,0.0001,901,2,advective,Aw_p,1.01880038375935e-14,7.1933649720372e-14
constant,0.0001,901,2,advective,Aw_m,1.01880038375935e-14,3.64450295971286e-14
constant,0.0001,901,2,advective,Aio,5.53540334261723e-27,3.46615323537481e-13
constant,0.0001,901,2,advective,Amda,6.85221711259058e-25,7.30245827231335e-14
constant,0.0001,901,2,split,Ag_q,4.06824657057227e-30,2.21695126049837e-19
constant,0.0001,901,2,split,Ag_0,6.00701210499731e-26,4.16044640953703e-17
constant,0.0001,901,2,split,Aw_p,1.01880038375935e-14,7.1933649720372e-14
constant,0.0001,901,2,split,Aw_m,1.01880038375935e-14,3.64450295971286e-14
constant,0.0001,901,2,split,Aio,5.46893129760288e-27,3.46615323537481e-13
constant,0.0001,901,2,split,Amda,6.84832659641475e-25,7.30245827231335e-14
constant,0.0001,901,2,compatible,Ag_q,4.06812764072341e-30,2.21695126049837e-19
constant,0.0001,901,2,compatible,Ag_0,6.00701080221987e-26,4.16044640953703e-17
constant,0.0001,901,2,compatible,Aw_p,1.01880038375935e-14,7.1933649720372e-14
constant,0.0001,901,2,compatible,Aw_m,1.01880038375935e-14,3.64450295971286e-14
constant,0.0001,901,2,compatible,Aio,5.54254700968637e-27,3.46615323537481e-13
constant,0.0001,901,2,compatible,Amda,6.84836537547247e-25,7.30245827231335e-14
constant,0.0001,901,3,divergence,Ag_q,1.88230860662906e-30,1.02624901859274e-19
constant,0.0001,901,3,divergence,Ag_0,2.77999201855935e-26,1.92591245498797e-17
constant,0.0001,901,3,divergence,Aw_p,4.93437093479831e-15,3.32988148658033e-14
constant,0.0001,901,3,divergence,Aw_m,4.93437093479831e-15,1.68707812954523e-14
constant,0.0001,901,3,divergence,Aio,5.43970426631863e-27,3.46615323537481e-13
constant,0.0001,901,3,divergence,Amda,6.83765677005408e-25,7.30245827231335e-14
constant,0.0001,901,3,advective,Ag_q,1.88414829530739e-30,1.02624901859274e-19
constant,0.0001,901,3,advective,Ag_0,2.78271297838708e-26,1.92591245498797e-17
constant,0.0001,901,3,advective,Aw_p,4.93437093479831e-15,3.32988148658033e-14
constant,0.0001,901,3,advective,Aw_m,4.93437093479831e-15,1.68707812954523e-14
