family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Aw_m,5.96610451094811e-23,3.58373680006884e-09,1.66477195279338e-14,9.26381328187398e-19,2.58512491961524e-07,2.58495844246642e-05,constant,0.01,327,33,8,assessed
Aio,6.24565819541279e-24,6.07380887208266e-09,1.02829350197699e-15,1.01117488620911e-23,2.69310488836475e-12,1.66481155568735e-10,constant,0.01,327,33,8,assessed
Amda,4.98125570489778e-22,1.42889198698381e-09,3.48609674508184e-13,9.07594360919165e-22,9.8378251150649e-10,6.35173080970162e-08,constant,0.01,327,33,8,assessed
Ag_q,8.62210595119393e-27,1.85407120919833e-14,4.65036397114543e-13,3.50890466890758e-26,2.2369273153665e-09,1.79568925246442e-07,constant,0.01,327,33,16,assessed
Ag_0,1.19464197371184e-22,2.59122819141429e-12,4.61033103016605e-11,4.1519570922478e-22,2.06254954084216e-07,1.60169428987752e-05,constant,0.01,327,33,16,assessed
Aw_p,8.25543991387602e-23,7.03471799653587e-09,1.17352819515171e-14,9.26381328634351e-19,1.31698776239635e-07,1.31687040959352e-05,constant,0.01,327,33,16,assessed
Aw_m,5.96610538080102e-23,3.58373680006884e-09,1.6647721955157e-14,9.26381328187398e-19,2.58512491963952e-07,2.58495844246642e-05,constant,0.01,327,33,16,assessed
Aio,6.24565819541279e-24,6.07380887208266e-09,1.02829350197699e-15,1.01117488620911e-23,2.69310488836475e-12,1.66481155568735e-10,constant,0.01,327,33,16,assessed
Amda,4.98125570489778e-22,1.42889198698381e-09,3.48609674508184e-13,9.07594360919165e-22,9.8378251150649e-10,6.35173080970162e-08,constant,0.01,327,33,16,assessed
Ag_q,9.78370398970767e-27,1.85407120919833e-14,5.27687606666305e-13,3.50890466890758e-26,2.29637233625651e-09,1.79568925246442e-07,constant,0.01,327,49,0,rejected
Ag_0,1.35083308318447e-22,2.59122819141429e-12,5.21309967088304e-11,4.1519570922478e-22,2.12280315199798e-07,1.60169428987752e-05,constant,0.01,327,49,0,rejected
Aw_p,4.81768597659319e-12,7.03471799653587e-09,0.000684844222464295,9.26381328634351e-19,0.684844256799299,1.31687040959352e-05,constant,0.01,327,49,0,rejected
Aw_m,4.81768597659323e-12,3.58373680006884e-09,0.00134431914098733,9.26381328187398e-19,1.34431902436669,2.58495844246642e-05,constant,0.01,327,49,0,rejected
Aio,9.52611962760386e-24,6.07380887208266e-09,1.56839305092217e-15,1.01117488620911e-23,3.23320434838724e-12,1.66481155568735e-10,constant,0.01,327,49,0,rejected
Amda,2.93968820572559e-22,1.42889198698381e-09,2.05732010012237e-13,9.07594360919165e-22,8.40904947002402e-10,6.35173080970162e-08,constant,0.01,327,49,0,rejected
Ag_q,9.78370398970767e-27,1.85407120919833e-14,5.27687606666305e-13,3.50890466890758e-26,2.29637233625651e-09,1.79568925246442e-07,constant,0.01,327,49,8,assessed
Ag_0,1.35083308318447e-22,2.59122819141429e-12,5.21309967088304e-11,4.1519570922478e-22,2.12280315199798e-07,1.60169428987752e-05,constant,0.01,327,49,8,assessed
Aw_p,7.60906676439952e-23,7.03471799653587e-09,1.08164488870008e-14,9.26381328634351e-19,1.31697857406702e-07,1.31687040959352e-05,constant,0.01,327,49,8,assessed
Aw_m,4.11515482124499e-23,3.58373680006884e-09,1.14828600726648e-14,9.26381328187398e-19,2.5850732710351e-07,2.58495844246642e-05,constant,0.01,327,49,8,assessed
Aio,9.52611962760386e-24,6.07380887208266e-09,1.56839305092217e-15,1.01117488620911e-23,3.23320434838724e-12,1.66481155568735e-10,constant,0.01,327,49,8,assessed
Amda,2.93968820572559e-22,1.42889198698381e-09,2.05732010012237e-13,9.07594360919165e-22,8.40904947002402e-10,6.35173080970162e-08,constant,0.01,327,49,8,assessed
Ag_q,9.78370398970767e-27,1.85407120919833e-14,5.27687606666305e-13,3.50890466890758e-26,2.29637233625651e-09,1.79568925246442e-07,constant,0.01,327,49,16,assessed
Ag_0,1.35083308318447e-22,2.59122819141429e-12,5.21309967088304e-11,4.1519570922478e-22,2.12280315199798e-07,1.60169428987752e-05,constant,0.01,327,49,16,assessed
Aw_p,7.6090663055227e-23,7.03471799653587e-09,1.08164482346978e-14,9.26381328634351e-19,1.31697857406049e-07,1.31687040959352e-05,constant,0.01,327,49,16,assessed
Aw_m,4.11515435686378e-23,3.58373680006884e-09,1.14828587768631e-14,9.26381328187398e-19,2.58507327102214e-07,2.58495844246642e-05,constant,0.01,327,49,16,assessed
Aio,9.52611962760386e-24,6.07380887208266e-09,1.56839305092217e-15,1.01117488620911e-23,3.23320434838724e-12,1.66481155568735e-10,constant,0.01,327,49,16,assessed
Amda,2.93968820572559e-22,1.42889198698381e-09,2.05732010012237e-13,9.07594360919165e-22,8.40904947002402e-10,6.35173080970162e-08,constant,0.01,327,49,16,assessed
Ag_q,9.38637074728773e-27,1.85407120919833e-14,5.06257294796474e-13,3.50890466890758e-26,2.27603872504779e-09,1.79568925246442e-07,constant,0.01,327,65,0,assessed
Ag_0,1.35992729319286e-22,2.59122819141429e-12,5.24819580806817e-11,4.1519570922478e-22,2.12631141181804e-07,1.60169428987752e-05,constant,0.01,327,65,0,assessed
Aw_p,2.59527489223845e-12,7.03471799653587e-09,0.000368923799577532,9.26381328634351e-19,0.368923878821284,1.31687040959352e-05,constant,0.01,327,65,0,assessed
